,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0,90.0,95.0,100.0
100.0,-35.296565335,-35.3063038725,-35.3096426025,-35.3102581075,-35.3104828875,-35.31050349,-35.3105466475,-35.31061712,-35.310677795,-35.3107147925,-35.31073184,-35.310736155,-35.3107391825,None,None,None
120.0,-35.2965332975,-35.3062710875,-35.309608035,-35.310222015,-35.3104462125,-35.3104666925,-35.3105099175,-35.310580835,-35.310642505,-35.310680795,-35.31069874,-35.310702975,-35.3107050575,-35.3107086475,-35.3107137825,None
140.0,-35.29653463,-35.306272225,-35.3096092575,-35.31022336,-35.3104477825,-35.310468215,-35.3105113,-35.310581995,-35.31064348,-35.310681655,-35.310699555,-35.31070376,-35.3107058775,-35.3107096225,-35.3107149725,-35.3107197475
160.0,-35.296550525,-35.306286335,-35.309622965,-35.3102369975,-35.310461485,-35.3104818875,-35.31052476,-35.310595085,-35.3106561025,-35.31069392,-35.3107115275,-35.31071566,-35.3107178,-35.3107216275,-35.3107271625,-35.310732095
180.0,-35.296549335,-35.3062851975,-35.30962179,-35.3102358,-35.310460255,-35.31048067,-35.3105235475,-35.310593875,-35.3106548825,-35.310692685,-35.3107102825,-35.31071441,-35.31071655,-35.31072038,-35.31072591,-35.3107308375
200.0,-35.296528405,-35.3062665825,-35.3096035425,-35.31021751,-35.310441825,-35.310462245,-35.3105053275,-35.310576005,-35.3106374275,-35.31067553,-35.31069341,-35.31069762,-35.3106997575,-35.31070355,-35.310709055,-35.3107139675
220.0,-35.296528815,-35.30626698,-35.3096039375,-35.3102179025,-35.3104422175,-35.310462635,-35.31050572,-35.310576395,-35.3106378175,-35.31067592,-35.3106937975,-35.3106980075,-35.3107001475,-35.310703945,-35.31070946,-35.310714385
240.0,-35.29653044,-35.306268455,-35.3096053625,-35.31021931,-35.3104436125,-35.31046403,-35.310507115,-35.3105777925,-35.310639215,-35.3106773175,-35.3106951925,-35.310699405,-35.3107015425,-35.310705345,-35.3107108625,-35.3107157925
260.0,-35.2965359825,-35.30627334,-35.3096101475,-35.310224105,-35.31044845,-35.310468855,-35.3105118925,-35.31058248,-35.310643795,-35.31068181,-35.3106996125,-35.3107037975,-35.310705935,-35.3107097425,-35.31071526,-35.3107201925
280.0,-35.296536105,-35.3062734625,-35.3096102725,-35.3102242325,-35.31044858,-35.310468985,-35.31051202,-35.3105826075,-35.3106439225,-35.3106819375,-35.3106997375,-35.3107039225,-35.31070606,-35.3107098675,-35.310715385,-35.31072032
300.0,-35.29653695,-35.3062742475,-35.3096110575,-35.3102250225,-35.3104493725,-35.31046978,-35.3105128125,-35.3105833925,-35.310644705,-35.310682715,-35.310700515,-35.3107046975,-35.3107068375,-35.310710645,-35.3107161625,-35.3107210975
