,0.001,0.002,0.005,0.007,0.008,0.01,0.02,0.03,0.04,0.05
0.001,0.001734,0.001277,0.000867,0.000781,0.000779,0.000784,0.000829,0.000856,0.000927,0.000858
0.002,0.001238,0.000817,0.000513,0.000408,0.000392,0.000398,0.000528,0.00057,0.000597,0.000621
0.005,0.000341,0.000219,0.000434,0.00052,0.000537,0.000554,0.000609,0.000611,0.000626,0.000641
