,0.001,0.002,0.005,0.007,0.008,0.01,0.02,0.03,0.04,0.05
0.001,-39.5109348925,-39.510970455,-39.51107793,-39.51114971,-39.5111856375,-39.5112575175,-39.51161709,-39.51197822,-39.512292845,-39.5118700425
0.002,-39.499420535,-39.4994463425,-39.4995263825,-39.499589235,-39.499624245,-39.499696675,-39.4999736775,-39.50023884,-39.5006492825,-39.501146025
0.005,-39.50152496,-39.501531415,-39.50157594,-39.5015994275,-39.5016062275,-39.5016196775,-39.5016510825,-39.5017098075,-39.5018980725,-39.502123525
