-537.45297,-537.45433,-537.45480,-537.45496,-537.45501,-537.45506,-537.45512,-537.45516,-537.45519,-537.45522,-537.45523
-537.45292,-537.45430,-537.45477,-537.45493,-537.45499,-537.45504,-537.45509,-537.45514,-537.45516,-537.45519,-537.45520
-537.45299,-537.45433,-537.45482,-537.45497,-537.45503,-537.45508,-537.45514,-537.45518,-537.45521,-537.45524,-537.45525
-537.45300,-537.45436,-537.45482,-537.45498,-537.45504,-537.45509,-537.45515,-537.45519,-537.45522,-537.45525,-537.45525
-537.45301,-537.45437,-537.45484,-537.45499,-537.45505,-537.45510,-537.45516,-537.45520,-537.45523,-537.45526,-537.45527
-537.45302,-537.45438,-537.45484,-537.45500,-537.45506,-537.45511,-537.45517,-537.45521,-537.45523,-537.45527,-537.45527
-537.45302,-537.45438,-537.45484,-537.45500,-537.45506,-537.45511,-537.45517,-537.45521,-537.45524,-537.45527,-537.45527
-537.45302,-537.45438,-537.45485,-537.45501,-537.45506,-537.45511,-537.45517,-537.45521,-537.45524,-537.45527,-537.45528
-537.45302,-537.45438,-537.45485,-537.45501,-537.45507,-537.45512,-537.45517,-537.45522,-537.45524,-537.45527,-537.45528
-537.45302,-537.45438,-537.45485,-537.45501,-537.45507,-537.45512,-537.45517,-537.45522,-537.45524,-537.45527,-537.45528
-537.45302,-537.45438,-537.45485,-537.45501,-537.45507,-537.45512,-537.45517,-537.45522,-537.45524,-537.45527,-537.45528
-537.45302,-537.45438,-537.45487,-537.45503,-537.45509,-537.45514,-537.45520,-537.45524,-537.45526,-537.45527,-537.45528
