   -537.2316111530,   -537.5719712060,   -537.4014295050,   -537.4151302870,   -537.4504008370,   -537.4438180370,   -537.4635040210,   -537.4571021770,   -537.4619234070,   -537.4642378130,   -537.4583466610,   -537.4599989430,   -537.4574630020,   -537.4586927570
   -537.2341065140,   -537.5724550950,   -537.4022642510,   -537.4154813490,   -537.4506525090,   -537.4439033450,   -537.4635842950,   -537.4572455820,   -537.4619663680,   -537.4642587660,   -537.4583688380,   -537.4599943850,   -537.4574899750,   -537.4586739130
   -537.2415926680,   -537.5739173040,   -537.4047726750,   -537.4165712720,   -537.4514105870,   -537.4445061130,   -537.4635660630,   -537.4578067170,   -537.4621912020,   -537.4642416900,   -537.4582260800,   -537.4599506080,   -537.4574934780,   -537.4586462250
   -537.2465838680,   -537.5748939930,   -537.4064458750,   -537.4174285020,   -537.4518686250,   -537.4448243860,   -537.4634569110,   -537.4582325090,   -537.4623597780,   -537.4641339330,   -537.4580632530,   -537.4599298590,   -537.4574210620,   -537.4586503410
   -537.2490788560,   -537.5753828470,   -537.4072835810,   -537.4179059950,   -537.4520318600,   -537.4449165310,   -537.4634483730,   -537.4584530240,   -537.4624306640,   -537.4640404610,   -537.4580147830,   -537.4599291790,   -537.4573780680,   -537.4586654430
   -537.2540709400,   -537.5763607940,   -537.4089685510,   -537.4188931600,   -537.4521457740,   -537.4450995960,   -537.4634873200,   -537.4588798020,   -537.4625366180,   -537.4638388580,   -537.4580104970,   -537.4599427510,   -537.4573296990,   -537.4587136080
   -537.2790298650,   -537.5812530460,   -537.4182676700,   -537.4226706940,   -537.4511509560,   -537.4455269530,   -537.4635967440,   -537.4600083650,   -537.4632849000,   -537.4628402650,   -537.4592480750,   -537.4601341500,   -537.4580166530,   -537.4590089200
   -537.3039895380,   -537.5861668640,   -537.4288632810,   -537.4262881890,   -537.4505219280,   -537.4463261880,   -537.4630186020,   -537.4601109180,   -537.4636181390,   -537.4622522580,   -537.4604996680,   -537.4603258210,   -537.4591356580,   -537.4595035570
   -537.3289491780,   -537.5904573680,   -537.4366767890,   -537.4318787220,   -537.4498180350,   -537.4488914500,   -537.4618345280,   -537.4601386060,   -537.4629085990,   -537.4617460560,   -537.4609459370,   -537.4604783410,   -537.4599823780,   -537.4600362900
   -537.3539095990,   -537.5847487710,   -537.4392047020,   -537.4386471050,   -537.4501495730,   -537.4519663140,   -537.4607529050,   -537.4604332040,   -537.4621504530,   -537.4615018330,   -537.4611193760,   -537.4607679730,   -537.4605815410,   -537.4605615060
