    -39.4998782125,    -39.4998485125,    -39.4998086900,    -39.4998073675,    -39.4998167350,    -39.4998197075,    -39.4998179600,    -39.4998173175,    -39.4998176850
    -39.4999428025,    -39.4999079825,    -39.4999115150,    -39.4999212100,    -39.4999193650,    -39.4999187000,    -39.4999202100,    -39.4999209475,    -39.4999224475
    -39.4999449150,    -39.4999551525,    -39.4999577550,    -39.4999560000,    -39.4999557775,    -39.4999576275,    -39.4999591875,    -39.4999594800,    -39.4999597800
    -39.4999667775,    -39.4999692500,    -39.4999670400,    -39.4999684900,    -39.4999699000,    -39.4999709625,    -39.4999712625,    -39.4999716275,    -39.4999722000
    -39.4999736775,    -39.4999713550,    -39.4999731425,    -39.4999748975,    -39.4999753450,    -39.4999756300,    -39.4999760900,    -39.4999768500,    -39.4999769750
    -39.4999755200,    -39.4999764175,    -39.4999785175,    -39.4999789625,    -39.4999793500,    -39.4999799875,    -39.4999805450,    -39.4999806275,    -39.4999807175
    -39.4999794900,    -39.4999820650,    -39.4999831950,    -39.4999835800,    -39.4999843550,    -39.4999847775,    -39.4999848650,    -39.4999850125,    -39.4999851975
    -39.4999844350,    -39.4999862275,    -39.4999865675,    -39.4999873125,    -39.4999878725,    -39.4999879625,    -39.4999881075,    -39.4999883600,    -39.4999884425
    -39.4999879025,    -39.4999883950,    -39.4999889150,    -39.4999897600,    -39.4999898475,    -39.4999899925,    -39.4999902725,    -39.4999903275,    -39.4999903550
    -39.4999890550,    -39.4999896250,    -39.4999905525,    -39.4999907100,    -39.4999908650,    -39.4999911175,    -39.4999912000,    -39.4999912275,    -39.4999913225
    -39.4999897975,    -39.4999906825,    -39.4999911550,    -39.4999912775,    -39.4999915250,    -39.4999916775,    -39.4999917025,    -39.4999918000,    -39.4999918250
