   -537.4253168750,   -537.4249127850,   -537.4243709700,   -537.4243529760,   -537.4244804280,   -537.4245208710,   -537.4244970950,   -537.4244883530,   -537.4244933530
   -537.4261956700,   -537.4257219180,   -537.4257699810,   -537.4259018880,   -537.4258767860,   -537.4258677380,   -537.4258882830,   -537.4258983170,   -537.4259187250
   -537.4262244120,   -537.4263637010,   -537.4263991100,   -537.4263752320,   -537.4263722050,   -537.4263973760,   -537.4264186000,   -537.4264225800,   -537.4264266620
   -537.4265218680,   -537.4265555080,   -537.4265254400,   -537.4265451680,   -537.4265643520,   -537.4265788080,   -537.4265828900,   -537.4265878560,   -537.4265956450
   -537.4266157480,   -537.4265841480,   -537.4266084690,   -537.4266323470,   -537.4266384350,   -537.4266423130,   -537.4266485720,   -537.4266589120,   -537.4266606130
   -537.4266408160,   -537.4266530270,   -537.4266816000,   -537.4266876540,   -537.4266929260,   -537.4267016000,   -537.4267091850,   -537.4267103080,   -537.4267115320
   -537.4266948310,   -537.4267298660,   -537.4267452400,   -537.4267504790,   -537.4267610230,   -537.4267667720,   -537.4267679620,   -537.4267699690,   -537.4267724860
   -537.4267621120,   -537.4267865000,   -537.4267911260,   -537.4268012620,   -537.4268088810,   -537.4268101060,   -537.4268120790,   -537.4268155140,   -537.4268166370
   -537.4268092890,   -537.4268159900,   -537.4268230650,   -537.4268345620,   -537.4268357530,   -537.4268377250,   -537.4268415350,   -537.4268422830,   -537.4268426580
   -537.4268249700,   -537.4268327250,   -537.4268453450,   -537.4268474880,   -537.4268495960,   -537.4268530320,   -537.4268541540,   -537.4268545290,   -537.4268558210
   -537.4268350720,   -537.4268471130,   -537.4268535420,   -537.4268552090,   -537.4268585760,   -537.4268606510,   -537.4268609910,   -537.4268623180,   -537.4268626580
